hypothese,horizont,durchschnitt_signal,durchschnitt_baseline,differenz,trefferquote,n_events,p_wert
Gap nach oben (>3%),1d,0.0006080749586895838,0.000525636204907413,8.24387537821708e-05,0.4845084999559588,181648,0.4733076558427922
Gap nach oben (>3%),5d,0.0029566228166157103,0.0026714801709856626,0.00028514264563004764,0.4980417718512299,181031,0.24387354171808215
Gap nach oben (>3%),20d,0.03339970970640237,0.01122817297233727,0.0221715367340651,0.5430342978438163,179020,0.0
Gap nach unten (<-3%),1d,0.0019465657762370017,0.000525636204907413,0.0014209295713295887,0.5101208430557926,158139,5.926627166264012e-32
Gap nach unten (<-3%),5d,0.0006081063386278816,0.0026714801709856626,-0.002063373832357781,0.4954868154158215,157760,1.1611041061013054e-14
Gap nach unten (<-3%),20d,0.027002887888696918,0.01122817297233727,0.01577471491635965,0.5430895768291354,155989,4.711220056430314e-209
"Kontrolle: hohe Vola, kein Gap",1d,0.0004297076689431242,0.000525636204907413,-9.59285359642888e-05,0.4861672549813051,2142561,0.000358594973067768
"Kontrolle: hohe Vola, kein Gap",5d,0.002722751857760562,0.0026714801709856626,5.1271686774899405e-05,0.4937429530116529,2136551,0.4232793330120338
"Kontrolle: hohe Vola, kein Gap",20d,0.012094233111595036,0.01122817297233727,0.0008660601392577669,0.49249162319811257,2114172,3.255616900760212e-10
Momentum hoch (Top 20%),1d,0.0008060260771184256,0.000525636204907413,0.00028038987221101264,0.5101507846384414,1321819,1.2781789583277174e-23
Momentum hoch (Top 20%),5d,0.003941599742296376,0.0026714801709856626,0.0012701195713107133,0.5229934040013144,1317617,1.06689099493772e-84
Momentum hoch (Top 20%),20d,0.015473941361298413,0.01122817297233727,0.004245768388961143,0.5315353640219799,1302284,4.873642324402835e-216
Momentum tief (Bottom 20%),1d,0.0003264917556176926,0.000525636204907413,-0.0001991444492897204,0.4847898200752553,1319774,1.3368337842592331e-09
Momentum tief (Bottom 20%),5d,0.0022085891079514242,0.0026714801709856626,-0.0004628910630342384,0.4949346791229175,1316501,1.9569080986942e-09
Momentum tief (Bottom 20%),20d,0.011440197411424163,0.01122817297233727,0.00021202443908689347,0.5018677218854367,1303995,0.19645568596626914
Vola hoch (Top 20%),5d,0.04632655265348252,0.025624321028517444,0.020702231624965074,0.9999895280350863,1527889,1.442068205180922e-229
Vola hoch (Top 20%),20d,0.058035756898970524,0.02970962121643667,0.028326135682533855,1.0,1514130,0.0
Vola tief (Bottom 20%),5d,0.01372316198982287,0.025624321028517444,-0.011901159038694573,0.9997911181876941,1522392,0.0
Vola tief (Bottom 20%),20d,0.015443714323399062,0.02970962121643667,-0.014265906893037607,1.0,1500133,0.0
